       JobID    JobName  Partition    Account  AllocCPUS      State ExitCode 
------------ ---------- ---------- ---------- ---------- ---------- -------- 
5844450       ex1.slurm       defq sccs-dna-+          1  COMPLETED      0:0 
5844450.bat+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844451      allocation       defq sccs-dna-+          1  COMPLETED      0:0 
5844451.bat+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844452_10   ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844452_10.+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844452_1    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844452_1.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844452_2    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844452_2.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844452_3    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844452_3.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844452_4    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844452_4.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844452_5    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844452_5.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844452_6    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844452_6.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844452_7    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844452_7.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844452_8    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844452_8.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844452_9    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844452_9.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844462       ex1.slurm       defq sccs-dna-+          1  COMPLETED      0:0 
5844462.bat+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844463      allocation       defq sccs-dna-+          1  COMPLETED      0:0 
5844463.bat+      batch            sccs-dna-+          1  COMPLETED      0:0 
5844464_10   ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844464_10.+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844464_1    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844464_1.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844464_2    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844464_2.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844464_3    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844464_3.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844464_4    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844464_4.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844464_5    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844464_5.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844464_6    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844464_6.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844464_7    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
5844464_7.b+      batch            sccs-dna-+          3  COMPLETED      0:0 
5844464_8    ex3_array+       defq sccs-dna-+          3  COMPLETED      0:0 
